timestamp	mode	blockchain	token	amount	to_address	outcome	actual_sent	gas_avax	tx_hash
2026-08-19 18:00:41	DRY-RUN	avalanche	UNDEAD	1611240.40600000	0x28695b6193735f1dDa134864B653ff3a7466D107	WOULD_SEND	1611240.40600000	0.00000000	
2026-08-19 19:50:50	DRY-RUN	avalanche	UNDEAD	1611240.40600000	0x28695b6193735f1dDa134864B653ff3a7466D107	WOULD_SEND	1611240.40600000	0.00000000	
2026-08-19 19:51:22	DRY-RUN	avalanche	UNDEAD	1611240.40672662	0x28695b6193735f1dDa134864B653ff3a7466D107	WOULD_SEND	1611240.40672662	0.00000000	
2026-08-24 15:27:04	DRY-RUN	avalanche	UNDEAD	100000.00000000	0x28695b6193735f1dDa134864B653ff3a7466D107	WOULD_SEND	100000.00000000	0.00000000	
2026-08-24 15:53:53	DRY-RUN	avalanche	UNDEAD	100000.00000000	0x28695b6193735f1dDa134864B653ff3a7466D107	WOULD_SEND	100000.00000000	0.00000000	
2026-08-24 15:54:40	LIVE	avalanche	UNDEAD	100000.00000000	0x28695b6193735f1dDa134864B653ff3a7466D107	FAILED: Keystore address (0xe25835ef625ece064d899844e17ea59742369a92) does not match expected address (0x69b21DC480CA62E478D997d7313061F765a5B122) — refusing to proceed. No funds moved.	0.00000000	0.00000000	
2026-08-24 15:58:18	DRY-RUN	avalanche	UNDEAD	100000.00000000	0x28695b6193735f1dDa134864B653ff3a7466D107	WOULD_SEND	100000.00000000	0.00000000	
2026-08-24 15:59:17	LIVE	avalanche	UNDEAD	100000.00000000	0x28695b6193735f1dDa134864B653ff3a7466D107	SENT	100000.00000000	0.00012687	0xc3ba25815ea871d8f90180f4342e925002b25581161afb9389b41f68cb419d7d
2026-08-24 16:19:00	DRY-RUN	avalanche	UNDEAD	100000.00000000	0x28695b6193735f1dDa134864B653ff3a7466D107	WOULD_SEND	100000.00000000	0.00000000	
2026-08-24 16:19:53	DRY-RUN	avalanche	UNDEAD	100000.00000000	0x28695b6193735f1dDa134864B653ff3a7466D107	WOULD_SEND	100000.00000000	0.00000000	
2026-08-24 16:22:39	DRY-RUN	avalanche	UNDEAD	100000.00000000	0x28695b6193735f1dDa134864B653ff3a7466D107	WOULD_SEND	100000.00000000	0.00000000	
2026-08-24 16:23:12	LIVE	avalanche	UNDEAD	100000.00000000	0x28695b6193735f1dDa134864B653ff3a7466D107	FAILED: Keystore address (0xd16e431b1363ed90c4fd4906cf7fc33e51115429) does not match expected address (0xe25835EF625ecE064d899844e17Ea59742369A92) — refusing to proceed. No funds moved.	0.00000000	0.00000000	
2026-08-24 16:23:53	LIVE	avalanche	UNDEAD	100000.00000000	0x28695b6193735f1dDa134864B653ff3a7466D107	FAILED: Could not decrypt keystore: IO: The system cannot find the file specified. (os error 2). No funds moved.	0.00000000	0.00000000	
2026-08-24 16:24:38	LIVE	avalanche	UNDEAD	100000.00000000	0x28695b6193735f1dDa134864B653ff3a7466D107	SENT	100000.00000000	0.00012680	0x55755cc5bb06a06e93b6b9cb7cda392b534f55de891db0e4e9aae3483239138d
2026-08-24 18:22:45	DRY-RUN	avalanche	UNDEAD	100000.00000000	0x28695b6193735f1dDa134864B653ff3a7466D107	WOULD_SEND	100000.00000000	0.00000000	
2026-08-24 18:22:58	DRY-RUN	avalanche	UNDEAD	100000.00000000	0x28695b6193735f1dDa134864B653ff3a7466D107	WOULD_SEND	100000.00000000	0.00000000	
2026-08-24 18:23:19	DRY-RUN	avalanche	UNDEAD	100000.00000000	0x28695b6193735f1dDa134864B653ff3a7466D107	WOULD_SEND	100000.00000000	0.00000000	
2026-08-24 18:23:36	DRY-RUN	avalanche	UNDEAD	100000.00000000	0x28695b6193735f1dDa134864B653ff3a7466D107	WOULD_SEND	100000.00000000	0.00000000	
